Organization,Vote 2021-22 / Statutory - Description,2017-18 - Total budgetary authority available for use,2017-18 - Expenditures,2018-19 - Total budgetary authority available for use,2018-19 - Expenditures,2019-20 - Total budgetary authority available for use,2019-20 - Expenditures,2020-21 - Total budgetary authority available for use,2020-21 - Expenditures,2021-22 - Total budgetary authority available for use,2021-22 - Expenditures
Natural Resources Canada,Budget Implementation Vote - 25,0,0,0,0,3269440,0,0,0,0,0
Natural Resources Canada,Budget Implementation Vote - 30,0,0,0,0,0,0,0,0,0,0
Natural Resources Canada,Budget Implementation Vote - 35,0,0,0,0,808900,0,0,0,0,0
Natural Resources Canada,Budget Implementation Vote - 40,0,0,0,0,0,0,0,0,0,0
Natural Resources Canada,Climate Action Support Payments (Energy Manager Program and Clean Energy for Rural and Remote Communities Program),0,0,0,0,3966904,3966904,2702861,2702861,459311,459311
Natural Resources Canada,Contribution to the Canada/Newfoundland Offshore Petroleum Board,1962465,1962465.48,-1867263,-1867263,568245,568245,722583,722583,148521,148521
Natural Resources Canada,Contribution to the Canada/Nova Scotia Offshore Petroleum Board,567427,567427.27,-310873,-310873,51968,51968,-46055,-46055,1289603,1289603
Natural Resources Canada,Contribution to the Federation of Canadian Municipalities for the Green Municipal Fund,0,0,0,0,950000000,950000000,0,0,0,0
Natural Resources Canada,Contributions to employee benefit plans,52758303,52758303.67,54213506,54213506,60623377,60623377,61823487,61823487,60726193,60726193
Natural Resources Canada,Geomatics Canada Revolving Fund,7448333,-181947.94,7630281,1457284,6172997,-1,6172998,-1616411,7789409,183742
Natural Resources Canada,Payments of the Crown Share Adjustment for Nova Scotia Offshore Petroleum Resources,53319,53319,123050,123050,24862021,24862021,0,0,0,0
Natural Resources Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,14522803,14522803,0,0
Natural Resources Canada,Payments to the Newfoundland Offshore Petroleum Resource Revenue Fund,246734939,246734938.69,334152233,334152233,363966637,363966637,211837167,211837167,438146366,438146366
Natural Resources Canada,Payments to the Nova Scotia Offshore Revenue Account,275316673,275316672.58,73950854,73950854,9545908,9545908,16964221,16964221,105999556,105999556
Natural Resources Canada,Salary and Motor Car Allowance,84600,84600,86000,86000,85069,85069,89200,89200,90700,90700
Natural Resources Canada,Spending of proceeds from the disposal of surplus Crown assets,312335,220563.65,251825,157630,276646,160237,202252,64252,219164,162509
National Research Council Canada,Operating/Program - 1,410248462,409640474,461017824,452547281,472801238,465563613,520161101,494058198,525707687,506241585
National Research Council Canada,Capital - 5,107122312,69610046,81657303,61711448,59913794,51022610,159665938,103335651,137122751,110269115
National Research Council Canada,Grants & Contributions - 10,377820835,294036926,517707743,389217995,464165901,435225394,699979688,572201082,754964824,590805854
National Research Council Canada,Collection Agency Fees,1680,1679.33,766,766,472,472,0,0,0,0
National Research Council Canada,Contributions to employee benefit plans,52204594,52204593.75,59717184,59717184,63672044,63672044,65976712,65976712,65844964,65844964
National Research Council Canada,Losses on Foreign Exchange,105005,105005.09,0,0,0,0,168275,168275,49916,49916
National Research Council Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,275033963,275033963,0,0
National Research Council Canada,Spending of proceeds from the disposal of surplus Crown assets,192525,170000,718354,194865,947937,550000,433896,397937,269814,35959
National Research Council Canada,Spending of revenues pursuant to paragraph 5(1)(e) of the National Research Council Act,339147477,190754711.94,325009078,181814313,305089750,198567732,255268864,137483495,289260855,163061922
Natural Sciences and Engineering Research Council of Canada,Operating/Program - 1,50497754,47685085,51310318,50432763,58002189,56497646,57979511,55332505,66683092,63610425
Natural Sciences and Engineering Research Council of Canada,Grants & Contributions - 5,1167081913,1165593171,1277816621,1273974634,1300483175,1296861360,1314086883,1311770862,1354676491,1341785484
Natural Sciences and Engineering Research Council of Canada,Budget Implementation Vote - 10,0,0,0,0,35288,0,0,0,0,0
Natural Sciences and Engineering Research Council of Canada,Budget Implementation Vote - 15,0,0,0,0,0,0,0,0,0,0
Natural Sciences and Engineering Research Council of Canada,Contributions to employee benefit plans,5440147,5440146.76,5567563,5567563,5865130,5865130,6384147,6384147,7670298,7670298
Natural Sciences and Engineering Research Council of Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,114857813,114857813,0,0
Natural Sciences and Engineering Research Council of Canada,Spending of Revenues pursuant to subsection 4.2 of the Natural Sciences and Engineering Research Council Act,423485,423485.44,174441,174441,141127,141127,129927,129927,174979,174979
Natural Sciences and Engineering Research Council of Canada,Spending of proceeds from the disposal of surplus Crown assets,334,0,504,504,1026,89,1073,0,38334,33734
Secretariat of the National Security and Intelligence Committee of Parliamentarians,Operating/Program - 1,0,0,6572965,3487129,3408604,2515480,3500645,2249180,3581498,2530086
Secretariat of the National Security and Intelligence Committee of Parliamentarians,Operating/Program - 3,4261607,579141,0,0,0,0,0,0,0,0
Secretariat of the National Security and Intelligence Committee of Parliamentarians,Contributions to employee benefit plans,0,0,145143,145143,178063,178063,182065,182065,167916,167916
Office of the Auditor General of Canada,Operating/Program - 1,75705751,74024292,83450221,79098121,81073589,78319683,96279347,89618623,109600048,99759594
Office of the Auditor General of Canada,Contributions to employee benefit plans,8404465,8404465.45,8903407,8903407,9334130,9334130,10509041,10509041,11610933,11610933
Office of the Auditor General of Canada,Spending of proceeds from the disposal of surplus Crown assets,1445,1106.81,1012,338,1715,674,1486,1041,1058,445
The Correctional Investigator Canada,Operating/Program - 1,4456075,4369377,5004000,4696613,4907779,4894976,5279355,5170316,5025451,4614535
The Correctional Investigator Canada,Contributions to employee benefit plans,481070,481069.85,504674,504674,545982,545982,657160,657160,538459,538459
Office of the Commissioner of Official Languages,Operating/Program - 1,20072432,18928368,20511019,19745847,20459164,19448250,21663707,20152445,21421037,20748567
Office of the Commissioner of Official Languages,Contributions to employee benefit plans,2119222,2119221.71,2152246,2152246,2182990,2182990,2510639,2510639,2365739,2365739
Office of the Commissioner of Official Languages,Spending of proceeds from the disposal of surplus Crown assets,3853,0,4427,4427,34,0,75,0,206,0
Office of the Intelligence Commissioner,Operating/Program - 1,2059246,1825235,2103870,1955931,2071302,1922815,2731528,2024234,2469028,1913744
Office of the Intelligence Commissioner,Contributions to employee benefit plans,141825.78,141825.78,167465,167465,184951,184951,141613,141613,138141,138141
Public Prosecution Service of Canada,Operating/Program - 1,174525317,162543127,181012877,176498896,185201803,176137310,195131095,173519503,199459986,182504427
Public Prosecution Service of Canada,Budget Implementation Vote - 5,0,0,0,0,1200000,0,0,0,0,0
Public Prosecution Service of Canada,Contributions to employee benefit plans,15531817,15531816.85,17343967,17343967,16794495,16794495,18953002,18953002,18875806,18875806
Public Prosecution Service of Canada,Electoral expenditures,3410178,3410178.48,2925462,2925462,0,0,0,0,0,0
Public Prosecution Service of Canada,Spending of proceeds from the disposal of surplus Crown assets,15493,15492.88,0,0,0,0,0,0,10948,0
Office of the Conflict of Interest and Ethics Commissioner,Operating/Program - 1,6178280,5973165,6134141,5826882,6355513,6199290,6714503,6305443,6852883,6567669
Office of the Conflict of Interest and Ethics Commissioner,Contributions to employee benefit plans,665257,665257.22,690883,690883,686897,686897,755637,755637,770535,770535
Infrastructure Canada,Operating/Program - 1,217145305,141061203,135577405,85726632,186770382,114541200,197393340,158734609,219918941,204692792
Infrastructure Canada,Capital - 5,576351890,570321744,1026670486,111652770,1324769226,1208973851,148375795,22813640,176926556,15623031
Infrastructure Canada,Grants & Contributions - 10,4282963173,1536772728,3367804319,3279177078,5226079579,3215825356,5514189924,3130132366,5809348728,4237527265
Infrastructure Canada,Contribution to the Federation of Canadian Municipalities for the Asset Management Fund,0,0,0,0,60000000,60000000,0,0,0,0
Infrastructure Canada,Contributions related to the Canada Community-Building Fund (Keeping Canada's Economy and Jobs Growing Act),2071932904,2071932904,2170596375,2170596375,4340912262,4340912262,2170315887,2170315887,4490082497,4490082497
Infrastructure Canada,Contributions to employee benefit plans,6123830,6123829.91,7012877,7012877,8526050,8526050,10302190,10302190,14065905,14065905
Infrastructure Canada,Salary and Motor Car Allowance,84600,84600,86000,86000,88834,88834,89200,89200,89481,89481
Infrastructure Canada,Spending of proceeds from the disposal of surplus Crown assets,0,0,0,0,0,0,12160,0,12160,0
Office of the Public Sector Integrity Commissioner of Canada,Operating/Program - 1,5279398,4518110,5382010,5202328,5275715,4960450,5372195,4892975,5346914,4927403
Office of the Public Sector Integrity Commissioner of Canada,Contributions to employee benefit plans,431723,431722.44,418784,418784,438151,438151,498599,498599,519126,519126
Office of the Public Sector Integrity Commissioner of Canada,Spending of proceeds from the disposal of surplus Crown assets,0,0,0,0,84,0,84,84,110,110
Office of the Commissioner of Lobbying of Canada,Operating/Program - 1,4642478,4438552,5840315,4930738,4663725,4477967,4506132,4431312,4936550,4273500
Office of the Commissioner of Lobbying of Canada,Contributions to employee benefit plans,333393,333393.29,378876,378876,351114,351114,457066,457066,380063,380063
Office of the Commissioner of Lobbying of Canada,Spending of proceeds from the disposal of surplus Crown assets,0,0,28,0,28,28,0,0,0,0
Senate Ethics Officer,Operating/Program - 1,1120500,922207,1264777,1045612,1231278,954521,1231278,854870,1231278,802217
Senate Ethics Officer,Contributions to employee benefit plans,92635,92634.51,95667,95667,99979,99979,106907,106907,95938,95938
Office of the Superintendent of Financial Institutions Canada,Operating/Program - 1,945058,945058,1310733,1310733,1501204,1501204,1292051,1226041,1244352,1244352
Office of the Superintendent of Financial Institutions Canada,Spending of proceeds from the disposal of surplus Crown assets,2722,2722.06,1838,1838,1055,1055,0,0,311,311
Office of the Superintendent of Financial Institutions Canada,Spending of revenues pursuant to subsection 17(2) of the Office of the Superintendent of Financial Institutions Act,221973946,154054684.65,234274348,166970647,258660671,192131875,257497789,198401362,276141267,206383753
Office of the Parliamentary Budget Officer,Operating/Program - 1,0,0,6983524,5046675,7016482,5418118,6520482,5476840,6520482,5494267
Office of the Parliamentary Budget Officer,Operating/Program - 3,2201031,1819087,0,0,0,0,0,0,0,0
Office of the Parliamentary Budget Officer,Contributions to employee benefit plans,166066,166066.29,384730,384730,505386,505386,619259,619259,595951,595951
Parks Canada,Operating/Program - 1,1570653928,1140076058,1678279963,1182151723,1932377321,1219082783,1411697886,1108942361,1284948810,966594261
Parks Canada,Other - 5,25545821,25545821,44007000,44007000,26323000,26323000,19292000,19292000,50988628,50988628
Parks Canada,Contributions to employee benefit plans,51595808,51595808.14,63337755,63337755,58532629,58532629,66821331,66821331,65257188,65257188
Parks Canada,Expenditures equivalent to revenues resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act,121405446,99815122.57,196038118,170827686,196329322,176336244,110514225,110514225,181340479,80818318
Parks Canada,Refunds of amounts credited to revenues in previous years,0,0,0,0,0,0,0,0,300300,300300
Pacific Economic Development Agency of Canada,Operating/Program - 1,0,0,0,0,0,0,0,0,23685762,10767219
Pacific Economic Development Agency of Canada,Grants & Contributions - 5,0,0,0,0,0,0,0,0,245356623,156737177
Pacific Economic Development Agency of Canada,Contributions to employee benefit plans,0,0,0,0,0,0,0,0,1201390,1201390
Civilian Review and Complaints Commission for the RCMP,Operating/Program - 1,9674697,8190848,10303220,9010004,10235241,9552289,10564150,10197756,9566833,9395423
Civilian Review and Complaints Commission for the RCMP,Budget Implementation Vote - 5,0,0,0,0,420000,0,0,0,0,0
Civilian Review and Complaints Commission for the RCMP,Contributions to employee benefit plans,830983,830983.07,875325,875325,990288,990288,1218481,1218481,1135212,1135212
Privy Council Office,Operating/Program - 1,209655506,187449564,217382193,197679186,176769076,168470636,183474915,182977615,197492278,184049746
Privy Council Office,Contributions to employee benefit plans,15197868,15197868.02,16207359,16207359,16432876,16432876,18843847,18843847,19063377,19063377
Privy Council Office,Salary and Motor Car Allowance,259300,259300.08,384740,384740,446178,446178,471862,471862,458437,458437
Privy Council Office,Spending of proceeds from the disposal of surplus Crown assets,40146,34166.33,19951,5980,3974,0,21148,0,43803,43803
Public Health Agency of Canada,Operating/Program - 1,350779684,340095980,347615688,336532129,601500196,598335263,14796625497,2906861284,15379582957,8093113853
Public Health Agency of Canada,Capital - 5,10340293,10012204,9625839,8221372,8156967,7733964,140610547,36179995,117964902,17377726
Public Health Agency of Canada,Grants & Contributions - 10,225739230,217109560,302163580,292400866,252077883,245035952,616419909,322488959,881669929,529172022
Public Health Agency of Canada,Budget Implementation Vote - 15,0,0,0,0,223357,0,0,0,0,0
Public Health Agency of Canada,Budget Implementation Vote - 20,0,0,0,0,0,0,0,0,0,0
Public Health Agency of Canada,Budget Implementation Vote - 25,0,0,0,0,138377,0,0,0,0,0
Public Health Agency of Canada,Contributions to employee benefit plans,27566659,27566658.84,27257420,27257420,30769403,30769403,39298130,39298130,55616969,55616969
Public Health Agency of Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,5443026228,5443026228,0,0
Public Health Agency of Canada,Refunds of amounts credited to revenues in previous years,0,0,0,0,9130,9130,0,0,0,0
Public Health Agency of Canada,Spending of proceeds from the disposal of surplus Crown assets,96665,53678.17,124869,73310,103577,103577,23973,0,138117,26541
Public Health Agency of Canada,"Spending of revenues from other departments for which the Minister is responsible, pursuant to subsection 4.2(4) of the Department of Health Act",12264473,12264472.87,10866894,10866894,10618318,10618318,9905036,9905036,10125387,10125387
Patented Medicine Prices Review Board Canada,Operating/Program - 1,10588712,8892357,14222086,9375135,16005929,12162264,17170103,14038491,18141046,11180049
Patented Medicine Prices Review Board Canada,Contributions to employee benefit plans,846365,846365.14,921566,921566,1150279,1150279,1220530,1220530,1159360,1159360
Patented Medicine Prices Review Board Canada,Spending of proceeds from the disposal of surplus Crown assets,472,472.03,1634,1634,1337,1337,295,62,233,0
PPP Canada Inc.,Payments to Crown Corps - 1,11800000,5900000,0,0,0,0,0,0,0,0
PPP Canada Inc.,Payments to Crown Corps - 5,267700000,0,0,0,0,0,0,0,0,0
Parliamentary Protective Service,Operating/Program - 1,79617983,71748117,83791418,77484796,81786647,81786645,83452443,66377420,80666584,77910546
Parliamentary Protective Service,Contributions to employee benefit plans,5436172,5436171.7,6359742,6359742,6888226,6888226,7409158,7409158,8711770,8711770
Public Service Commission of Canada,Operating/Program - 1,79548381,75829518,79445140,76525058,83758487,83033627,85305358,82356618,85217962,75717706
Public Service Commission of Canada,Contributions to employee benefit plans,9834904,9834904.04,10026919,10026919,10544582,10544582,11203003,11203003,10331198,10331198
Public Service Commission of Canada,Refunds of amounts credited to revenues in previous years,2680,2680,13044,13044,32052,32052,1737,1737,410,410
Public Service Commission of Canada,Spending of proceeds from the disposal of surplus Crown assets,1594,1593.95,611,611,1569,1569,0,0,475,475
Public Safety Canada,Operating/Program - 1,145516609,139294307,153817349,148481013,157987793,151945975,164856332,157826692,216682940,174572784
Public Safety Canada,Grants & Contributions - 5,946844709,805147909,985011367,564276802,730191138,686678690,650183911,562480482,979600621,875077570
Public Safety Canada,Budget Implementation Vote - 10,0,0,0,0,472725,0,0,0,0,0
Public Safety Canada,Budget Implementation Vote - 15,0,0,0,0,1773000,0,0,0,0,0
Public Safety Canada,Budget Implementation Vote - 20,0,0,0,0,330066,0,0,0,0,0
Public Safety Canada,Budget Implementation Vote - 25,0,0,0,0,120678,0,0,0,0,0
Public Safety Canada,Budget Implementation Vote - 30,0,0,0,0,2000000,0,0,0,0,0
Public Safety Canada,Budget Implementation Vote - 35,0,0,0,0,1009036,0,0,0,0,0
Public Safety Canada,Contributions to employee benefit plans,14544801,14544801.52,14696055,14696055,15567031,15567031,17517659,17517659,17918757,17918757
Public Safety Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,39459600,39459600,0,0
Public Safety Canada,Salary and Motor Car Allowance,84600,84600,146570,146570,143403,143403,89200,89200,90700,90700
Public Safety Canada,Spending of proceeds from the disposal of surplus Crown assets,20538,0,25250,0,15788,0,34791,0,27622,0
Public Safety Canada,Transfer payments in connection with the Budget Implementation Act,0,0,0,0,65000000,65000000,0,0,0,0
Royal Canadian Mounted Police,Operating/Program - 1,2506474414,2273087600,2951323581,2744244523,2896500434,2752391824,2843147560,2723004328,4108910679,3955115401
Royal Canadian Mounted Police,Capital - 5,397829156,256358698,374051380,291562306,325624557,246782840,305679774,245236691,375344936,235865869
Royal Canadian Mounted Police,Grants & Contributions - 10,233073483,230685907,302073483,290828573,408064683,333895510,398439283,387166286,519739826,482559706
Royal Canadian Mounted Police,Budget Implementation Vote - 15,0,0,0,0,368326,0,0,0,0,0
Royal Canadian Mounted Police,Budget Implementation Vote - 20,0,0,0,0,3321416,0,0,0,0,0
Royal Canadian Mounted Police,Budget Implementation Vote - 25,0,0,0,0,188820,0,0,0,0,0
Royal Canadian Mounted Police,Budget Implementation Vote - 30,0,0,0,0,4100000,0,0,0,0,0
Royal Canadian Mounted Police,Budget Implementation Vote - 35,0,0,0,0,0,0,0,0,0,0
Royal Canadian Mounted Police,Contributions to employee benefit plans,73458050,73458050.45,78631194,78631194,82230231,82230231,99201555,99201555,96677002,96677002
Royal Canadian Mounted Police,Pensions and other employee benefits - Members of the Force,361306004,361306004.26,350243649,350243649,1302844382,1302844382,358829971,358829971,545556213,545556213
Royal Canadian Mounted Police,Pensions under the Royal Canadian Mounted Police Pension Continuation Act,7779758,7779758.21,6856117,6856117,5958348,5958348,4996555,4996555,4326758,4326758
Royal Canadian Mounted Police,Refunds of amounts credited to revenues in previous years,269390,269389.7,1357258,1357258,412172,412172,84132,84132,75280,75280
Royal Canadian Mounted Police,Spending of proceeds from the disposal of surplus Crown assets,13028690,8038482.51,30330274,25504808,15440164,8458616,15103000,8846185,6484197,6249437
Statistics Canada,Operating/Program - 1,504906978,475550822,466034786,438121532,489353671,473759454,588444759,537787444,854035456,792669655
Statistics Canada,Budget Implementation Vote - 5,0,0,0,0,138531,0,0,0,0,0
Statistics Canada,Contributions to employee benefit plans,70193033,70193032.61,69609829,69609829,73161020,73161020,83522745,83522745,90695210,90695210
Statistics Canada,Spending of proceeds from the disposal of surplus Crown assets,27300,27299.54,12729,12729,29150,29150,8679,8679,18310,18310
Standards Council of Canada,Payments to Crown Corps - 1,13828495,13828495,17973672,17973672,18578854,18578854,18575862,18575862,19271621,19271621
Registrar of the Supreme Court of Canada,Operating/Program - 1,28048976,26681784,28118572,26575604,27743891,26250421,29407229,28013515,28983903,27676600
Registrar of the Supreme Court of Canada,Contributions to employee benefit plans,2744204,2744203.89,2822238,2822238,2758002,2758002,3135588,3135588,3037893,3037893
Registrar of the Supreme Court of Canada,"Judges' salaries, allowances and annuities, annuities to spouses and children of judges and lump sum payments to spouses of judges who die while in office",7990851,7990850.71,8350383,8350383,8761742,8761742,8082236,8082236,8679233,8679233
Registrar of the Supreme Court of Canada,Refunds of amounts credited to revenues in previous years,0,0,0,0,75,75,775,775,0,0
Registrar of the Supreme Court of Canada,Spending of proceeds from the disposal of surplus Crown assets,330,330.32,11775,0,11852,11775,77,77,30,0
Senate,Operating/Program - 1,69584548,60461030,74151222,63714122,78375193,65696511,79715174,68856272,79080673,66282797
Senate,Contributions to employee benefit plans,6288559,6288558.79,7310300,7310300,7350589,7350589,7858018,7858018,7967693,7967693
Senate,"Officers and Members of the Senate - Salaries, allowances and other payments to the Speaker of the Senate, Members and other officers of the Senate under the Parliament of Canada Act; contributions to the Members of Parliament Retiring Allowances Account and Members of Parliament Retirement Compensation Arrangements Account",39205358,39205358.53,25065709,25065709,24822771,24822771,40485214,40485214,22111804,22111804
Shared Services Canada,Operating/Program - 1,1398334791,1349579105,1644414492,1494788035,1720436472,1544390069,1963755240,1797857668,1969432653,1822076368
Shared Services Canada,Capital - 5,451310870,368865718,319784457,261813446,428518713,333436878,468319592,392322537,338379691,223603161
Shared Services Canada,Budget Implementation Vote - 10,0,0,0,0,240554,0,0,0,0,0
Shared Services Canada,Contributions to employee benefit plans,75282655,75282655.2,87115879,87115879,90577175,90577175,103522096,103522096,111632038,111632038
Shared Services Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,13480000,13480000,0,0
Shared Services Canada,Pensions and other employee benefits - Members of Royal Canadian Mounted Police,4184282,4184282.29,4089021,4089021,5173660,5173660,4982674,4982674,4827451,4827451
Shared Services Canada,Refunds of amounts credited to revenues in previous years,0,0,103,103,0,0,0,0,0,0
Shared Services Canada,Spending of proceeds from the disposal of surplus Crown assets,1535,1534.52,2579,2579,18705,18705,32347,32298,15162,15162
National Security and Intelligence Review Agency Secretariat,Operating/Program - 1,6600448,5841352,4958824,4635457,23617899,6403823,22591718,11289189,30850965,16113433
National Security and Intelligence Review Agency Secretariat,Contributions to employee benefit plans,332540,332539.56,357096,357096,517233,517233,962186,962186,1176321,1176321
National Security and Intelligence Review Agency Secretariat,Spending of proceeds from the disposal of surplus Crown assets,306,300,496,0,490,0,0,0,0,0
Social Sciences and Humanities Research Council of Canada,Operating/Program - 1,27061199,24499123,33774551,31886338,36527338,34776123,36715403,35391177,42328024,40972861
Social Sciences and Humanities Research Council of Canada,Grants & Contributions - 5,756926319,756635673,841846999,837621471,902677211,902401473,1065682784,1022533351,970627623,970617959
Social Sciences and Humanities Research Council of Canada,Budget Implementation Vote - 10,0,0,0,0,35288,0,0,0,0,0
Social Sciences and Humanities Research Council of Canada,Budget Implementation Vote - 15,0,0,0,0,0,0,0,0,0,0
Social Sciences and Humanities Research Council of Canada,Contributions to employee benefit plans,2707688,2707687.61,3363820,3363820,3496808,3496808,4066187,4066187,4680149,4680149
Social Sciences and Humanities Research Council of Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,357051586,357051586,0,0
Social Sciences and Humanities Research Council of Canada,Spending of Revenues pursuant to subsection 4.2 of the Social Sciences and Humanities Research Council Act,121276,121275.97,258199,258199,82884,82884,76306,76306,102766,102766
Social Sciences and Humanities Research Council of Canada,Spending of proceeds from the disposal of surplus Crown assets,15568,15568.49,0,0,0,0,0,0,16903,16903
Women and Gender Equality Canada,Operating/Program - 1,22086283,20727156,41613897,40035775,47395094,44846442,48970668,46322399,51708565,48245922
Women and Gender Equality Canada,Grants & Contributions - 5,20830000,20830000,29280000,29273977,65836843,65836843,98143977,98143977,179742166,177423093
Women and Gender Equality Canada,Budget Implementation Vote - 10,0,0,0,0,349233,0,0,0,0,0
Women and Gender Equality Canada,Contributions to employee benefit plans,1745077,1745076.78,2750614,2750614,3775724,3775724,4746303,4746303,4892951,4892951
Women and Gender Equality Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,70161324,70161324,0,0
Women and Gender Equality Canada,Salary and Motor Car Allowance,2000,2000.04,86000,86000,87500,87500,89200,89200,90944,90944
Women and Gender Equality Canada,Spending of proceeds from the disposal of surplus Crown assets,58,0,182,0,290,0,183,183,962,962
Treasury Board of Canada Secretariat,Operating/Program - 1,309299504,272955611,298698721,279801932,328134946,308427143,321418288,304869575,329201270,303665675
Treasury Board of Canada Secretariat,Central Vote - Government Contingencies - 5,530274898,0,620803211,0,431434416,0,608764637,0,662076848,0
Treasury Board of Canada Secretariat,Central Vote - Government-Wide Initiatives - 10,693000,0,209653633,0,87762568,0,10630836,0,121568555,0
Treasury Board of Canada Secretariat,Central Vote - Compensation Adjustments - 15,0,0,0,0,0,0,0,0,0,0
Treasury Board of Canada Secretariat,Central Vote - Public Service Insurance - 20,3274680578,3164665468,2952919397,2739639374,2667910100,2633550311,3156130791,2889612806,3048143881,2923781288
Treasury Board of Canada Secretariat,Central Vote - Operating Budget Carry Forward - 25,222997692,0,317905008,0,348704061,0,8896620,0,143101025,0
Treasury Board of Canada Secretariat,Central Vote - Paylist Requirements - 30,249426761,0,496255966,0,333471728,0,376616754,0,597186052,0
Treasury Board of Canada Secretariat,Central Vote - Capital Budget Carry Forward - 33,42220019,0,0,0,0,0,0,0,0,0
Treasury Board of Canada Secretariat,Central Vote - Capital Budget Carry Forward - 35,0,0,62740984,0,83376345,0,45037387,0,114532482,0
Treasury Board of Canada Secretariat,Central Vote - Budget 2018 Implementation - 40,0,0,2098921948,0,0,0,0,0,0,0
Treasury Board of Canada Secretariat,Budget Implementation Vote - 45,0,0,0,0,40635,0,0,0,0,0
Treasury Board of Canada Secretariat,Budget Implementation Vote - 50,0,0,0,0,4403889,0,0,0,0,0
Treasury Board of Canada Secretariat,Budget Implementation Vote - 55,0,0,0,0,0,0,0,0,0,0
Treasury Board of Canada Secretariat,Contributions to employee benefit plans,27932725,27932724.95,29332793,29332793,32238093,32238093,36292936,36292936,35390017,35390017
Treasury Board of Canada Secretariat,Employer contributions made under the Public Service Superannuation Act and other retirement acts and the Employment Insurance Act,341250848,341250848.34,3107000000,3107000000,0,0,-94302,-94302,7805000000,7805000000
Treasury Board of Canada Secretariat,Payments for the Pay Equity Settlement,-3072,-3071.69,0,0,0,0,0,0,0,0
Treasury Board of Canada Secretariat,Payments under the Public Service Pension Adjustment Act,15823,15822.72,7706,7706,57,57,7521,7521,1458,1458
Treasury Board of Canada Secretariat,Salary and Motor Car Allowance,84600,84600,75640,75640,91464,91464,91200,91200,91867,91867
Treasury Board of Canada Secretariat,Spending of proceeds from the disposal of surplus Crown assets,8141,0,404,0,907,0,907,0,0,0
Transport Canada,Operating/Program - 1,723505611,678268055,759447683,712532606,781590892,753799602,837007995,783300811,832145151,786991132
Transport Canada,Capital - 5,163552904,100027353,184365398,105621443,171192945,132601685,357791027,248383904,204388703,104942113
Transport Canada,Grants & Contributions - 10,113277043,58990203,417523603,173226303,614974527,371541785,863210540,384402308,1477256876,1009359062
Transport Canada,Grants & Contributions - 15,210178442,118128881,45033446,10796528,332947502,213982219,237341901,182496908,0,0
Transport Canada,Grants & Contributions - 20,55323442,31622127,38322616,22733857,48989725,24271425,64395213,21478338,0,0
Transport Canada,Budget Implementation Vote - 25,0,0,0,0,767403,0,0,0,0,0
Transport Canada,Budget Implementation Vote - 30,0,0,0,0,300608,0,0,0,0,0
Transport Canada,Budget Implementation Vote - 35,0,0,0,0,1035350,0,0,0,0,0
Transport Canada,Budget Implementation Vote - 40,0,0,0,0,275000,0,0,0,0,0
Transport Canada,Budget Implementation Vote - 45,0,0,0,0,2147890,0,0,0,0,0
Transport Canada,Budget Implementation Vote - 50,0,0,0,0,11081897,0,0,0,0,0
Transport Canada,Collection Agency Fees,915,914.95,64,64,0,0,0,0,0,0
Transport Canada,Contributions to employee benefit plans,70017280,70017280.41,75461164,75461164,79841335,79841335,92278976,92278976,87857517,87857517
Transport Canada,Court Awards,0,0,0,0,0,0,3500,3500,0,0
Transport Canada,Northumberland Strait Crossing Subsidy Payment under the Northumberland Strait Crossing Act,64942486,64942486,66045713,66045713,66998519,66998519,68603289,68603289,69305533,69305533
Transport Canada,Payments in respect of St. Lawrence Seaway agreements under the Canada Marine Act,74148352,74148351.95,59117648,59117648,58796238,58796238,72894839,72894839,77106388,77106388
Transport Canada,"Payments to the Canadian National Railway Company in respect of the termination of the collection of tolls on the Victoria Bridge, Montreal and for rehabilitation work on the portion of the bridge",3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000
Transport Canada,Refunds of amounts credited to revenues in previous years,32749,32749,9978,9978,440,440,38586030,38586030,40967652,40967652
Transport Canada,Salary and Motor Car Allowance,84600,84600,86000,86000,87500,87500,89200,89200,90700,90700
Transport Canada,Spending of proceeds from the disposal of surplus Crown assets,6337296,6157764.07,183955,0,1351008,0,4633170,1346585,19088853,3286585
Destination Canada,Payments to Crown Corps - 1,95744873,95475770,98682907,98682907,100665913,100665913,96731606,95665913,121159703,121159703
Destination Canada,Budget Implementation Vote - 5,0,0,0,0,0,0,0,0,0,0
Veterans Affairs Canada,Operating/Program - 1,1022118507,926664000,1070668762,1001640228,1263033033,1146915325,1230944800,1084358047,1334599644,1169151251
